Table Name
#Tableau_6_sid_01184DB3_4_Filter
AllModels
ModelsWithLots
advertiser
advertiser_analytic
advertiser_county
advertiser_payment
advertiser_purchase_county
advertiser_purchase_package
advertiser_types
advertising_package
auction_coupon
auction_extra_time
auction_status
auction_type
auctioneer
auctioneer_history
auctioneer_type
auctions
auctions_temp
cabs
calendar_table
campaign
combine_type
company_advertiser
concierge_add_lot
content_setting
county
county_package
coupon_code
crops
device
drive
drive_category
duplicate_user_cleanup
emissions
equipment_condition
equipment_details
equipment_details_history
equipment_images
equipment_search
equipment_search_auction_stage
equipment_search_lot_stage
equipment_search_stage
equipment_search_temp
equipment_valuation_history
event
event_types
failed_jobs
favorite_lot
file_ingest_history
historic_commodity_prices
historic_farmer_sentiment
historic_inflation
ingest_history
ingest_ignore
ingest_ignore_type
ingest_log
ints
job_status
jobs
leads
lot_category
lot_change_history
lot_features
lot_images
lot_images_temp
lot_images_text
lot_outliers
lot_outliers_duplicate_type
lot_outliers_duplicates
lot_price_history
lot_subcategory
lot_table_columns
lot_transfer
lot_type
lot_vote_type
lot_votes
lots
lots_history
lots_temp
machine_learning_price_prediction
make
make_model
make_temp
market_features
market_features_backup
market_index
migrations
most_relevant
mp_auction_scrape_staging
mp_lots_staging
notification
notification_favorite
notification_frequency
notification_nearby
notification_saved_search
notification_subscribe
notification_user_device
online_types
outlier_review_status
outlier_severity
outlier_type
outlier_version
ownership_type
package_advertiser_price
parts_make
parts_model
payment_details
picture_quality
picture_quality_ratings
popup
popup_user
prediction_performance
price_prediction_category
price_prediction_factor
publish_status
region
region_index
region_index_regions
review_advertiser
review_status
scraper_images
sessions
show_auction_comp_average_type
sold_data_ingest_history
state
state_advertising_price
store_zip_code
subcribe_auctioneer
temp_make_model
third_party_ingest
third_party_source
time_on_lot_180_days_predictions
time_on_lot_180_days_shapley_values
time_zone
tire_details
tire_make
tire_model
tire_type
tires
transmissions
ttt_category_mapping
ttt_parsed_file_review
ttt_review_status
ttt_schema_version
user
user_crop
user_equipment
user_keyword_notification_setting
user_login_token
user_notification
user_notification_setting
user_notification_type
user_payment
user_types
zip_county
